iter	RMSE
0	0.6913098037
1	0.6441389427
2	0.6033932767
3	0.5685352342
4	0.5390433213
5	0.5135105733
6	0.4920670565
7	0.4740772367
8	0.458980593
9	0.446138067
10	0.4354932137
11	0.4267545182
12	0.4193398985
13	0.4123427808
14	0.4069945211
15	0.4023120962
16	0.398272268
17	0.3949106288
18	0.3920593796
19	0.3892275174
20	0.3869500048
21	0.3850275479
22	0.3830044592
23	0.381350663
24	0.3799777461
25	0.3787192397
26	0.3773201791
27	0.3762873961
28	0.3754278029
29	0.374320413
30	0.3735748126
31	0.3725833599
32	0.3719578789
33	0.3711787695
34	0.3705484174
35	0.3700267763
36	0.369461134
37	0.3688637552
38	0.3681929009
39	0.3677094048
40	0.3672406798
41	0.3667600654
42	0.3663559069
43	0.3657838341
44	0.3649954092
45	0.3644953196
46	0.3639401105
47	0.3635215427
48	0.3630200414
49	0.3626737838
50	0.3622763853
51	0.3618315761
52	0.3615213087
53	0.3612383548
54	0.3608150809
55	0.3605315449
56	0.3602419936
57	0.3599677948
58	0.3594564323
59	0.359222978
60	0.3590030169
61	0.3586534413
62	0.358395753
63	0.3581605888
64	0.3579273404
65	0.3576845868
66	0.3573652583
67	0.3570999041
68	0.356836241
69	0.3566393055
70	0.3564154094
71	0.35620725
72	0.3559653694
73	0.3557265162
74	0.3555528687
75	0.3552515817
76	0.3550461104
77	0.3548146562
78	0.354610241
79	0.3543312263
80	0.3541438813
81	0.353969294
82	0.3538134277
83	0.3536571067
84	0.3534484098
85	0.3532610242
86	0.3530412403
87	0.3528668737
88	0.3527009234
89	0.3525550759
90	0.3522888204
91	0.3521730724
92	0.3519602279
93	0.3517991686
94	0.351617115
95	0.3513361269
96	0.3511978062
97	0.3510660149
98	0.3509295047
99	0.3508082729
100	0.3507037143
101	0.3506044447
102	0.3504971406
103	0.3503830817
104	0.3502573001
105	0.3501209715
106	0.3499140699
107	0.3497441243
108	0.3496284773
109	0.3495115255
110	0.3494250443
111	0.3493485996
112	0.3492188784
113	0.3490521604
114	0.3488950483
115	0.3488001379
116	0.3486993487
117	0.3485922318
118	0.3483092408
119	0.3481829437
120	0.3480521049
121	0.3479508958
122	0.3478601602
123	0.3477939531
124	0.3477139707
125	0.3476162838
126	0.3475229833
127	0.3474213178
128	0.3473259765
129	0.3472238029
130	0.3470977263
131	0.3469362712
132	0.346822343
133	0.3465989347
134	0.3465129825
135	0.3464184795
