iter	Passed	Remaining
0	55	55681
1	87	43876
2	120	40168
3	153	38264
4	188	37566
5	220	36605
6	254	36035
7	284	35323
8	314	34615
9	343	34023
10	375	33761
11	413	34082
12	446	33913
13	484	34087
14	515	33879
15	545	33559
16	573	33189
17	603	32910
18	632	32632
19	664	32582
20	693	32311
21	724	32210
22	756	32134
23	785	31942
24	818	31913
25	853	31980
26	888	32004
27	916	31830
28	941	31528
29	973	31479
30	1003	31370
31	1031	31206
32	1062	31128
33	1095	31119
34	1125	31035
35	1163	31143
36	1198	31197
37	1252	31704
38	1284	31650
39	1308	31405
40	1339	31339
41	1371	31283
42	1397	31101
43	1426	30991
44	1493	31704
45	1527	31668
46	1558	31608
47	1587	31492
48	1621	31461
49	1646	31285
50	1680	31274
51	1713	31246
52	1741	31125
53	1766	30953
54	1792	30806
55	1823	30737
56	1854	30685
57	1879	30528
58	1910	30478
59	1943	30445
60	1974	30390
61	2001	30283
62	2032	30230
63	2062	30158
64	2093	30114
65	2121	30015
66	2153	29989
67	2182	29914
68	2215	29887
69	2244	29814
70	2270	29707
71	2295	29585
72	2324	29520
73	2354	29462
74	2383	29397
75	2418	29406
76	2448	29351
77	2478	29302
78	2508	29249
79	2547	29291
80	2585	29329
81	2615	29281
82	2642	29196
83	2669	29109
84	2697	29040
85	2725	28969
86	2752	28885
87	2782	28836
88	2819	28861
89	2847	28795
90	2878	28756
91	2904	28664
92	2937	28645
93	2966	28589
94	2994	28531
95	3028	28513
96	3062	28512
97	3090	28442
98	3121	28406
99	3146	28321
100	3170	28224
101	3196	28139
102	3225	28092
103	3254	28042
104	3279	27956
105	3313	27949
106	3343	27904
107	3370	27837
108	3400	27799
109	3430	27757
110	3456	27685
111	3483	27617
112	3513	27578
113	3543	27541
114	3578	27535
115	3611	27520
116	3638	27459
117	3663	27380
118	3696	27365
119	3729	27347
120	3762	27332
121	3793	27299
122	3822	27256
123	3851	27208
124	3877	27142
125	3908	27111
126	3938	27075
127	3965	27011
128	3993	26962
129	4023	26923
130	4055	26905
131	4085	26868
132	4115	26831
133	4146	26798
134	4175	26753
135	4204	26710
136	4234	26675
137	4269	26671
138	4299	26635
139	4331	26606
140	4356	26541
141	4389	26523
142	4429	26544
143	4454	26478
144	4479	26414
145	4507	26368
146	4543	26362
147	4570	26313
148	4595	26245
149	4628	26226
150	4664	26227
151	4698	26210
152	4728	26178
153	4763	26168
154	4789	26111
155	4816	26059
156	4846	26025
157	4876	25985
158	4905	25944
159	4936	25917
160	4967	25884
161	4992	25823
162	5017	25764
163	5045	25721
164	5080	25708
165	5108	25664
166	5141	25645
167	5178	25644
168	5204	25590
169	5242	25594
170	5276	25578
171	5308	25553
172	5340	25530
173	5377	25529
174	5407	25494
175	5437	25458
176	5464	25406
177	5497	25388
178	5522	25328
179	5552	25295
180	5586	25279
181	5616	25243
182	5643	25196
183	5667	25135
184	5713	25168
185	5751	25171
186	5780	25132
187	5812	25105
188	5840	25059
189	5867	25014
190	5893	24963
191	5933	24970
192	5963	24933
193	6001	24932
194	6032	24904
195	6064	24875
196	6091	24831
197	6118	24782
198	6149	24751
199	6178	24713
200	6202	24657
201	6236	24638
202	6265	24599
203	6296	24567
204	6324	24526
205	6353	24489
206	6388	24474
207	6419	24443
208	6450	24412
209	6497	24443
210	6528	24413
211	6559	24383
212	6585	24334
213	6614	24295
214	6648	24273
215	6680	24249
216	6716	24236
217	6750	24214
218	6788	24208
219	6824	24195
220	6854	24160
221	6881	24115
222	6907	24067
223	6940	24045
224	6969	24006
225	7000	23974
226	7031	23945
227	7059	23903
228	7094	23884
229	7128	23865
230	7159	23833
231	7192	23809
232	7218	23763
233	7246	23721
234	7280	23700
235	7314	23677
236	7350	23664
237	7380	23630
238	7405	23580
239	7439	23559
240	7467	23519
241	7497	23483
242	7522	23435
243	7547	23385
244	7577	23350
245	7609	23324
246	7638	23287
247	7663	23237
248	7695	23211
249	7724	23174
250	7758	23152
251	7794	23135
252	7850	23180
253	7878	23138
254	7914	23121
255	7945	23092
256	7981	23074
257	8011	23039
258	8044	23016
259	8074	22982
260	8102	22940
261	8129	22899
262	8157	22860
263	8186	22822
264	8213	22780
265	8247	22756
266	8275	22719
267	8302	22677
268	8333	22646
269	8366	22620
270	8397	22588
271	8427	22555
272	8460	22530
273	8485	22482
274	8512	22441
275	8542	22407
276	8569	22367
277	8597	22328
278	8628	22297
279	8662	22274
280	8692	22240
281	8720	22202
282	8751	22172
283	8776	22126
284	8805	22091
285	8831	22048
286	8867	22029
287	8900	22004
288	8927	21964
289	8953	21920
290	8981	21883
291	9011	21849
292	9040	21814
293	9070	21781
294	9106	21763
295	9136	21729
296	9174	21715
297	9202	21679
298	9227	21634
299	9254	21593
300	9285	21564
301	9309	21516
302	9335	21473
303	9359	21428
304	9384	21384
305	9411	21343
306	9439	21307
307	9470	21278
308	9495	21234
309	9520	21191
310	9550	21158
311	9576	21117
312	9603	21078
313	9632	21043
314	9661	21009
315	9693	20983
316	9722	20947
317	9755	20921
318	9787	20893
319	9814	20855
320	9844	20824
321	9873	20789
322	9903	20758
323	9949	20758
324	9988	20745
325	10013	20702
326	10042	20668
327	10073	20638
328	10101	20602
329	10132	20572
330	10156	20528
331	10187	20497
332	10218	20468
333	10247	20433
334	10274	20395
335	10308	20372
336	10336	20336
337	10366	20304
338	10391	20261
339	10419	20225
340	10451	20197
341	10487	20178
342	10516	20144
343	10546	20111
344	10580	20087
345	10610	20055
346	10640	20023
347	10670	19992
348	10699	19957
349	10728	19924
350	10753	19883
351	10781	19846
352	10817	19826
353	10842	19785
354	10867	19745
355	10898	19715
356	10925	19678
357	10951	19640
358	10982	19608
359	11009	19571
360	11041	19544
361	11070	19511
362	11102	19482
363	11130	19447
364	11157	19410
365	11184	19374
366	11212	19339
367	11244	19310
368	11272	19275
369	11298	19238
370	11324	19199
371	11349	19160
372	11378	19126
373	11412	19101
374	11442	19070
375	11472	19039
376	11501	19006
377	11535	18982
378	11558	18939
379	11585	18902
380	11611	18864
381	11638	18828
382	11676	18810
383	11702	18772
384	11730	18738
385	11765	18715
386	11794	18682
387	11826	18654
388	11857	18624
389	11889	18596
390	11914	18557
391	11939	18518
392	11963	18477
393	11990	18441
394	12016	18404
395	12051	18381
396	12097	18375
397	12126	18342
398	12155	18309
399	12195	18292
400	12223	18258
401	12247	18219
402	12275	18184
403	12302	18148
404	12329	18114
405	12358	18080
406	12389	18051
407	12419	18020
408	12455	17997
409	12489	17972
410	12520	17942
411	12542	17900
412	12577	17876
413	12606	17843
414	12635	17811
415	12663	17777
416	12690	17742
417	12720	17711
418	12747	17676
419	12776	17643
420	12806	17613
421	12835	17580
422	12864	17547
423	12895	17518
424	12919	17479
425	12952	17452
426	12984	17424
427	13012	17390
428	13037	17352
429	13070	17326
430	13094	17287
431	13127	17260
432	13158	17231
433	13194	17207
434	13228	17182
435	13255	17147
436	13284	17114
437	13310	17078
438	13336	17042
439	13367	17012
440	13401	16987
441	13431	16956
442	13461	16925
443	13490	16893
444	13517	16859
445	13545	16825
446	13573	16791
447	13603	16761
448	13636	16734
449	13666	16703
450	13698	16674
451	13731	16648
452	13758	16613
453	13793	16588
454	13826	16561
455	13856	16530
456	13886	16500
457	13917	16469
458	13945	16436
459	13982	16414
460	14015	16387
461	14046	16356
462	14072	16322
463	14100	16288
464	14125	16251
465	14150	16215
466	14177	16181
467	14207	16150
468	14241	16124
469	14268	16090
470	14295	16055
471	14325	16025
472	14349	15987
473	14377	15955
474	14404	15920
475	14432	15888
476	14464	15859
477	14491	15825
478	14519	15792
479	14553	15766
480	14583	15735
481	14610	15701
482	14640	15670
483	14667	15637
484	14697	15606
485	14727	15576
486	14758	15546
487	14783	15511
488	14812	15479
489	14845	15451
490	14870	15415
491	14900	15385
492	14927	15351
493	14953	15316
494	14980	15283
495	15008	15250
496	15039	15221
497	15071	15192
498	15099	15160
499	15142	15142
500	15184	15124
501	15222	15100
502	15254	15072
503	15279	15036
504	15305	15001
505	15333	14970
506	15367	14943
507	15390	14906
508	15420	14874
509	15450	14844
510	15479	14812
511	15509	14782
512	15538	14750
513	15566	14718
514	15592	14684
515	15624	14655
516	15652	14623
517	15677	14588
518	15703	14553
519	15730	14520
520	15759	14488
521	15797	14465
522	15820	14428
523	15853	14401
524	15883	14370
525	15913	14340
526	15946	14312
527	15974	14280
528	15999	14245
529	16024	14210
530	16057	14182
531	16081	14146
532	16107	14113
533	16134	14079
534	16166	14051
535	16198	14022
536	16229	13992
537	16260	13963
538	16289	13932
539	16318	13901
540	16346	13868
541	16379	13841
542	16408	13810
543	16439	13780
544	16467	13748
