region,population,population_trend,population_per_of_rf,population_bad_region,real_incomes,real_incomes_trend,real_incomes_per_of_rf,real_incomes_bad_region,real_pay,real_pay_trend,real_pay_per_of_rf,real_pay_bad_region,poor,poor_trend,poor_per_of_rf,poor_bad_region,child_mortality_100k,child_mortality_100k_trend,child_mortality_100k_per_of_rf,child_mortality_100k_bad_region,disabled_100k,disabled_100k_trend,disabled_100k_per_of_rf,disabled_100k_bad_region,alco,alco_per_of_rf,alco_bad_region,drug,drug_trend,drug_per_of_rf,drug_bad_region,grp,grp_per_of_rf,grp_bad_region,constraint,constraint_per_of_rf,constraint_bad_region,living_area,living_area_per_of_rf,living_area_bad_region,very_bad_living_area,very_bad_living_area_per_of_rf,very_bad_living_area_bad_region,general_morbidity,general_morbidity_trend,general_morbidity_per_of_rf,general_morbidity_bad_region,congenital_malformation,congenital_malformation_trend,congenital_malformation_per_of_rf,congenital_malformation_bad_region,psychosis,psychosis_trend,psychosis_per_of_rf,psychosis_bad_region,teenage_pregnancy,teenage_pregnancy_trend,teenage_pregnancy_per_of_rf,teenage_pregnancy_bad_region,conditions_in_perinatal,conditions_in_perinatal_trend,conditions_in_perinatal_per_of_rf,conditions_in_perinatal_bad_region,newborn_100k,newborn_100k_trend,newborn_100k_per_of_rf,newborn_100k_bad_region,poverty_percent,poverty_percent_trend,poverty_percent_per_of_rf,poverty_percent_bad_region,poverty_socdem_children,poverty_socdem_children_trend,poverty_socdem_children_per_of_rf,poverty_socdem_children_bad_region,poverty_socdem_retired,poverty_socdem_retired_trend,poverty_socdem_retired_per_of_rf,poverty_socdem_retired_bad_region,poverty_socdem_employable,poverty_socdem_employable_trend,poverty_socdem_employable_per_of_rf,poverty_socdem_employable_bad_region,mining,mining_trend,mining_per_of_rf,mining_bad_region,manufacturing,manufacturing_trend,manufacturing_per_of_rf,manufacturing_bad_region,electricity,electricity_trend,electricity_per_of_rf,electricity_bad_region,water_supply,water_supply_trend,water_supply_per_of_rf,water_supply_bad_region,industrial_production,industrial_production_trend,industrial_production_per_of_rf,industrial_production_bad_region,retail,retail_per_of_rf,retail_bad_region,welfare_expense,welfare_expense_trend,welfare_expense_per_of_rf,welfare_expense_bad_region,population_children,population_employable,population_retired,children_serious_crimes,children_serious_crimes_trend,children_serious_crimes_per_of_rf,children_serious_crimes_bad_region,repeat_serious_crimes,repeat_serious_crimes_trend,repeat_serious_crimes_per_of_rf,repeat_serious_crimes_bad_region,drunk_serious_crimes,drunk_serious_crimes_trend,drunk_serious_crimes_per_of_rf,drunk_serious_crimes_bad_region,bad_region_sum
Алтайский край,2268179.0,-1,1.56,1,95.5,1,96.86,1,103.8,1,100.0,0,7.7,-1,73.33,0,4.0,-1,100.0,0,2589.0,-1,92.7,0,88.1,170.74,1,17.4,-1,172.28,1,291156.9,45.46,1,3.3,86.84,0,18.0,106.51,0,0.2,33.33,0,112764.7,1,143.46,1,200.1,-1,97.14,0,1272.1,-1,287.22,1,3.3,1,21.29,0,1127.7,-1,54.95,0,827.0,-1,86.15,1,17.5,-1,144.63,0,31.4,-1,79.09,0,9.2,1,176.92,1,59.4,1,107.61,1,9146146.1,1,0.06,0,361880102.22,1,0.76,0,44741016.3,-1,0.75,1,10454410.5,1,0.73,0,426221675.12,1,0.61,0,174321.0,64.42,0,29.7,1,139.44,0,18.9,55.3,25.8,26.0,1,92.86,0,18.0,1,90.0,0,14.0,1,77.78,0,11
Амурская область,772525.0,-1,0.53,1,100.3,1,101.72,0,105.2,1,101.35,0,9.7,0,92.38,0,5.0,-1,125.0,0,3047.0,-1,109.09,0,113.3,219.57,1,24.4,-1,241.58,1,571362.1,89.2,0,5.9,155.26,1,17.3,102.37,0,0.3,50.0,0,83412.0,1,106.12,1,370.1,1,179.66,1,446.7,-1,100.86,0,4.4,-1,28.39,0,3762.0,-1,183.31,1,939.0,-1,97.81,0,15.2,-1,125.62,0,38.4,-1,96.73,0,4.7,1,90.38,0,56.9,1,103.08,1,116722688.8,1,0.81,0,39093856.5,1,0.08,0,43000318.7,1,0.72,0,3471369.5,1,0.24,0,202288233.5,1,0.29,0,276635.0,102.23,0,21.7,-1,101.88,0,20.1,58.6,21.3,37.0,1,132.14,1,24.0,1,120.0,0,18.0,1,100.0,0,9
Архангельская область без Ненецкого АО,1069782.0,-1,0.73,1,98.4,1,99.8,0,102.9,1,99.13,0,6.8,-1,64.76,0,3.0,-1,75.0,0,2326.0,-1,83.28,0,64.7,125.39,0,9.2,1,91.09,0,514200.4,80.28,0,2.2,57.89,0,16.9,100.0,0,0.7,116.67,0,99842.1,-1,127.02,0,458.9,1,222.77,1,685.3,1,154.73,1,13.8,1,89.03,0,4145.0,-1,201.97,1,784.0,1,81.67,1,12.3,-1,101.65,0,28.5,-1,71.79,0,7.2,1,138.46,1,64.3,1,116.49,1,30698169.7,1,0.21,0,259143871.78,1,0.54,0,36359400.42,1,0.61,0,5852056.12,1,0.41,0,332053498.02,-1,0.48,1,280050.0,103.49,0,21.3,1,100.0,0,18.2,56.1,25.7,30.0,1,107.14,0,21.0,0,105.0,0,26.0,1,144.44,1,9
Астраханская область,989430.0,-1,0.68,1,97.1,1,98.48,0,104.5,1,100.67,0,6.6,-1,62.86,0,5.0,-1,125.0,0,1941.0,-1,69.5,0,22.2,43.02,0,0.2,-1,1.98,0,526950.9,82.27,0,3.1,81.58,0,19.2,113.61,0,0.2,33.33,0,64679.9,-1,82.29,0,415.1,1,201.5,1,624.5,-1,141.0,0,15.5,1,100.0,0,2484.4,-1,121.05,0,1073.0,-1,111.77,0,15.6,-1,128.93,0,42.1,1,106.05,1,5.5,1,105.77,1,52.4,-1,94.93,0,249844173.9,1,1.72,0,76028083.9,1,0.16,0,29929257.8,1,0.5,0,6497362.3,1,0.45,0,362298877.9,1,0.52,0,196096.0,72.47,0,31.4,1,147.42,0,20.6,56.2,23.2,35.0,1,125.0,1,20.0,1,100.0,0,10.0,-1,55.56,0,5
Белгородская область,1531917.0,1,1.05,0,98.1,-1,99.49,1,104.8,1,100.96,0,8.7,-1,82.86,0,4.0,-1,100.0,0,3696.0,-1,132.33,0,41.3,80.04,0,3.2,-1,31.68,0,646569.0,100.94,0,2.0,52.63,0,17.8,105.33,0,0.4,66.67,0,74637.4,-1,94.96,0,136.2,1,66.12,0,388.2,-1,87.65,0,0.0,-1,0.0,0,2424.0,-1,118.11,0,793.0,-1,82.6,1,7.2,-1,59.5,0,39.7,-1,100.0,0,5.2,-1,100.0,0,55.2,1,100.0,0,189803813.7,1,1.31,0,746380688.41,1,1.56,0,26787381.9,-1,0.45,1,11175025.3,1,0.78,0,974146909.31,1,1.4,0,259151.0,95.77,0,16.1,1,75.59,1,16.9,56.9,26.2,27.0,1,96.43,0,17.0,1,85.0,0,17.0,1,94.44,0,4
Брянская область,1168771.0,-1,0.8,1,96.3,1,97.67,0,102.9,1,99.13,0,8.2,-1,78.1,0,2.0,-1,50.0,0,3089.0,-1,110.6,0,82.2,159.3,1,6.1,-1,60.4,0,347204.5,54.21,0,0.6,15.79,0,24.1,142.6,0,0.0,0.0,0,77439.0,-1,98.52,0,192.1,1,93.25,0,411.3,-1,92.87,0,0.0,-1,0.0,0,519.8,-1,25.33,0,765.0,-1,79.69,1,13.6,-1,112.4,0,44.8,1,112.85,1,3.7,1,71.15,0,51.6,-1,93.48,0,310665.9,1,0.0,0,255686208.3,1,0.54,0,17876399.5,1,0.3,0,9588966.4,1,0.67,0,283462240.1,1,0.41,0,257679.0,95.22,0,23.1,-1,108.45,0,16.9,56.5,26.6,34.0,1,121.43,1,16.0,-1,80.0,0,12.0,-1,66.67,0,5
Владимирская область,1323659.0,-1,0.91,1,98.0,1,99.39,0,103.0,1,99.23,0,5.9,-1,56.19,0,5.0,-1,125.0,0,2757.0,-1,98.71,0,66.5,128.88,0,7.8,1,77.23,0,410443.6,64.08,0,2.5,65.79,0,16.1,95.27,0,0.0,0.0,0,94163.6,1,119.8,1,210.4,1,102.14,1,572.7,-1,129.31,0,22.5,1,145.16,1,1904.7,-1,92.81,0,729.0,-1,75.94,1,12.5,-1,103.31,0,39.7,-1,100.0,0,5.2,-1,100.0,0,55.2,1,100.0,0,4965110.5,1,0.03,0,526153656.11,1,1.1,0,37264660.97,1,0.63,0,12942570.39,1,0.91,0,581325997.97,1,0.83,0,207670.0,76.74,0,26.0,1,122.07,0,16.5,55.8,27.7,25.0,1,89.29,0,20.0,-1,100.0,0,20.0,-1,111.11,0,5
Волгоградская область,2449781.0,-1,1.68,1,98.7,1,100.1,0,104.2,1,100.39,0,7.0,-1,66.67,0,4.0,-1,100.0,0,2516.0,-1,90.08,0,55.6,107.75,0,7.7,-1,76.24,0,394256.5,61.55,0,3.3,86.84,0,17.9,105.92,0,0.6,100.0,0,64210.5,-1,81.69,0,122.5,-1,59.47,0,505.7,-1,114.18,0,15.5,-1,100.0,0,2335.3,-1,113.79,0,790.0,-1,82.29,1,11.9,-1,98.35,0,46.2,1,116.37,1,4.0,-1,76.92,0,49.8,1,90.22,0,34272695.0,1,0.24,0,775584323.2,1,1.62,0,72780640.71,1,1.22,0,21630796.2,1,1.51,0,904268455.11,1,1.3,0,194191.0,71.76,0,25.1,-1,117.84,0,17.0,57.1,25.9,32.0,1,114.29,0,18.0,1,90.0,0,17.0,1,94.44,0,3
Вологодская область,1139499.0,-1,0.78,1,99.6,1,101.01,0,105.4,1,101.54,0,6.7,-1,63.81,0,5.0,-1,125.0,0,2496.0,-1,89.37,0,50.1,97.09,0,6.1,-1,60.4,0,544379.2,84.99,0,2.9,76.32,0,16.9,100.0,0,0.3,50.0,0,91608.4,1,116.55,1,199.4,1,96.8,0,524.6,-1,118.45,0,3.3,1,21.29,0,1317.1,-1,64.18,0,905.0,-1,94.27,0,12.8,-1,105.79,0,43.1,1,108.56,1,2.3,-1,44.23,0,54.6,-1,98.91,0,612397.6,1,0.0,0,728137683.51,1,1.52,0,40112366.04,-1,0.67,1,8572731.6,1,0.6,0,777435178.75,1,1.12,0,208031.0,76.88,0,25.9,1,121.6,0,19.4,55.4,25.2,28.0,1,100.0,0,20.0,1,100.0,0,21.0,1,116.67,0,4
Воронежская область,2287678.0,-1,1.57,1,95.4,1,96.75,1,103.2,1,99.42,0,9.8,-1,93.33,0,4.0,-1,100.0,0,3142.0,-1,112.5,0,73.4,142.25,0,22.5,1,222.77,1,459629.5,71.76,0,1.6,42.11,0,19.9,117.75,0,0.1,16.67,0,55009.9,1,69.99,0,98.4,1,47.77,0,583.5,-1,131.75,0,4.2,1,27.1,0,1597.9,-1,77.86,0,806.0,-1,83.96,1,8.5,-1,70.25,0,28.5,-1,71.79,0,2.3,-1,44.23,0,69.2,1,125.36,1,9230600.5,1,0.06,0,552645129.4,1,1.16,0,137798961.7,1,2.31,0,18592053.8,1,1.3,0,718266745.4,1,1.03,0,296665.0,109.63,0,21.6,1,101.41,0,16.1,56.7,27.2,35.0,1,125.0,1,20.0,1,100.0,0,20.0,1,111.11,0,6
Еврейская автономная область,153831.0,-1,0.11,1,99.2,1,100.61,0,103.7,1,99.9,0,4.8,-1,45.71,0,12.0,-1,300.0,1,3143.0,-1,112.53,0,87.0,168.6,1,65.4,1,647.52,1,400340.5,62.5,0,4.6,121.05,0,13.8,81.66,1,0.5,83.33,0,70367.2,1,89.52,0,656.2,1,318.54,1,635.7,1,143.53,1,20.5,1,132.26,1,2536.7,-1,123.6,0,991.0,-1,103.23,0,23.6,1,195.04,1,34.8,1,87.66,0,10.8,1,207.69,1,54.4,-1,98.55,0,17093714.5,1,0.12,0,5460452.6,1,0.01,0,4967490.1,1,0.08,0,447750.1,-1,0.03,1,27969407.3,1,0.04,0,188492.0,69.66,0,31.2,1,146.48,0,20.7,58.0,21.3,25.0,1,89.29,0,26.0,1,130.0,1,29.0,1,161.11,1,13
